date,open,high,low,close,volume,returns,sigma
2000-01-03,12657.678823012893,13206.65468114257,12245.265628561114,12789.93239351111,1354799458,-0.01629102777129927,0.014
2000-01-04,13030.800137123464,13469.794589734825,12568.997755725602,13007.197044048085,1312934084,0.01684449335389274,0.01559293938244244
2000-01-05,12973.74297514858,13050.86697745119,12891.499619333354,12968.59300702039,614672764,-0.002972311169195529,0.016883201427210996
2000-01-06,12967.526863551673,13186.279319686972,12823.086690354341,13041.020529497378,949988965,0.0055693030258265625,0.017122195543669772
2000-01-07,13058.647124196996,13062.262716457817,13035.605086387906,13039.21529849273,818733250,-0.00013843670888854105,0.01738665743665709
2000-01-10,13250.39271680087,13642.580033917675,12841.927836531351,13233.618672714492,1463296194,0.01479908277056305,0.01752008546694195
2000-01-11,13325.347132636478,13330.767160975616,13225.545963691626,13230.927587281793,1251531925,-0.0002033728759629698,0.018243126668381317
2000-01-12,12765.828746670484,13594.39189854701,12033.436933757488,12856.781982923152,1246177885,-0.028685635200300433,0.018245384514870674
2000-01-13,12904.791445921375,13007.064131193201,12804.554227122577,12906.811223886252,1310051671,0.0038837209891709763,0.02037759834636142
2000-01-14,12844.792707328703,13026.691593585145,12765.46093323137,12946.73023479267,1245181940,0.0030880908670510754,0.020111386478384816
2000-01-17,12421.496181268343,13565.18764415456,11225.798381461003,12364.215838896875,1818886739,-0.046036783580504025,0.019868349621718257
2000-01-18,12836.120133075705,13756.006293985838,11896.889842710852,12815.28271328934,1489829827,0.03583193953365233,0.024443345994994706
2000-01-19,12427.53470515764,13199.39035915787,11651.828819704224,12423.42950589835,940025572,-0.031054254617365825,0.03208383653782778
2000-01-20,12538.368723685076,12800.87239806092,12286.529646386874,12548.823334941566,1199596550,0.010042736932057058,0.03914211328458449
2000-01-21,11951.65861799826,13092.663856450767,10840.18460673857,11978.67718666751,1288291092,-0.046498734894665425,0.04520577840333704
2000-01-24,12317.473824944143,13007.554013928317,11628.428098889344,12318.453485183416,1566496096,0.027970253310358604,0.054816620776562505
2000-01-25,11087.793709557098,13366.990271035987,8891.206849444194,11156.743806428412,1742607180,-0.09905428066449147,0.06343145276653145
2000-01-26,10195.702670838242,12115.117272930898,8242.830357472683,10154.485536616747,2256418822,-0.09412860810381267,0.08171161366529657
2000-01-27,10444.336703402067,11160.274781163866,9772.927351979104,10486.175821403021,1331327830,0.03214226860401107,0.0995838023197658
2000-01-28,10194.166982781935,10903.022119403462,9423.61625806998,10127.860767731205,1452773483,-0.03476768321623493,0.11346391171796058
2000-01-31,10513.138423740564,11098.710717733762,9833.8376254859,10413.881392694624,1279150335,0.02784954741349502,0.1291152366257315
2000-02-01,12322.5896645239,14818.355167861566,9858.071731619122,12348.629306551305,2822592198,0.17040540413176236,0.14644636770176903
2000-02-02,15592.245511936026,18710.69461432323,12416.202251623656,15520.25281452957,2853850893,0.22860073462771968,0.17825553846998585
2000-02-03,15060.764848738434,15921.952268454404,14248.807436776453,15107.47653171925,1393208086,-0.026956048385218465,0.22006116547396848
2000-02-04,11986.02137585184,14383.225651022209,9579.03230211129,11973.790377639112,3269729534,-0.23246962994397616,0.24885399912926381
2000-02-07,12636.38437644715,13889.321942890225,11334.789071125319,12582.371044490399,1828039254,0.04957658492798046,0.29519471243959233
2000-02-08,7976.6433507804995,9596.23747021669,6381.3146806244,7996.864558513909,5867941676,-0.4532471761477966,0.3339866336212312
2000-02-09,9614.333630352987,11537.200356423584,7677.9538314320525,9597.442289290066,2863701796,0.1824471001071756,0.41606786283716624
2000-02-10,10532.405848898317,12323.201678308804,8672.419878907389,10449.041498428443,1634922379,0.08501361678907407,0.47516990268758974
2000-02-11,16133.411448872504,19361.015409910255,12906.729159098004,16134.179508258545,5271283526,0.4344297209724685,0.5
2000-02-14,11511.483397058952,13813.78007647074,9201.870591548808,11502.338239436009,4326248022,-0.3383896326682913,0.5
2000-02-15,11632.328065905465,11751.423856597274,11443.002352075478,11561.37166665472,1232112643,0.005119172620349311,0.5
2000-02-16,11980.883439180518,12793.634513015051,11148.893328415059,11960.244298148598,1308348537,0.03391866209033595,0.5
2000-02-17,8653.548625796211,10384.258350955453,6878.972345872193,8598.715432340241,3797474984,-0.329975350810106,0.5
2000-02-18,10521.957463928424,12626.348956714108,8371.428829076383,10464.286036345478,2819380825,0.1963553058485336,0.5
2000-02-21,6394.552285720138,7673.462742864165,5077.528250437057,6346.910313046321,6056351836,-0.5,0.5
