date,open,high,low,close,volume,returns,sigma,sector
2000-01-03,124.72875309941857,128.91485367155124,121.79946534807031,125.956726636934,1229248,0.01565684296821479,0.015,Healthcare
2000-01-04,126.19684063817584,126.93836058647445,124.72707020666401,125.4642857360054,652249,-0.003917266309514251,0.017798047919918087,Healthcare
2000-01-05,120.89072910644043,127.06876601166033,115.9922337025387,122.12044258641808,1660241,-0.027013350210882123,0.018860491884060415,Healthcare
2000-01-06,119.17635587685905,124.45447450642146,113.31632816986368,118.5674807530979,1688169,-0.02952553572520216,0.022226846081469402,Healthcare
2000-01-07,117.15081538562352,119.96584440385115,113.87943972654966,116.6832331633625,1096596,-0.016019402050035155,0.02501978693679252,Healthcare
2000-01-10,121.58958309315318,127.97729084854788,114.49382698684923,120.84227491310455,1729035,0.03502332789205524,0.025284085449074397,Healthcare
2000-01-11,119.60314692038831,122.7030507356814,115.69383038643596,118.77219744869245,761935,-0.01727883083966279,0.028203244602209136,Healthcare
2000-01-12,117.01102447537447,120.41757188570439,113.09785452614794,116.48921033714588,1136789,-0.019408697745096414,0.027948561754614194,Healthcare
2000-01-13,115.20126907009742,116.83848299218555,114.1523470116884,115.78425279357819,841200,-0.006070083931516261,0.02795357428926153,Healthcare
2000-01-14,120.7276429012014,129.46753570082387,112.47443797671045,121.18318867395541,1221550,0.04557478705046887,0.02703051498356179,Healthcare
2000-01-17,121.58439586636501,122.50423009949766,119.6613414962713,120.5735281134606,1061788,-0.00504359805153315,0.03156070617754908,Healthcare
2000-01-18,117.8882304922311,123.04463698088962,111.98609157826232,117.10838791612127,561571,-0.029159860245751058,0.030011301566847812,Healthcare
2000-01-19,120.24458543036944,123.11642919340181,116.14610794032549,118.98793876876674,1125867,0.015922234683880425,0.030791024582202287,Healthcare
2000-01-20,117.78888883214043,119.29560215114965,116.86557904059462,118.36775481253139,763398,-0.005225788842509062,0.029941566249224727,Healthcare
2000-01-21,123.97567781015543,132.01766669278777,115.58131483299186,123.5988605311024,1545874,0.043244981729115534,0.028658231660717386,Healthcare
2000-01-24,124.02854638356459,124.32498923127703,123.50007447720378,123.79596141943226,751140,0.0015934119273674984,0.032211095297245106,Healthcare
2000-01-25,130.46750370687835,139.0298248971114,120.84468248578474,129.33251675348487,1476666,0.043751999269080036,0.030502861708929973,Healthcare
2000-01-26,131.81134753310178,137.02344108898617,127.19548689617501,132.3874075840665,1003189,0.023345792924581554,0.03363740884719752,Healthcare
2000-01-27,136.1872925999596,141.6768710181304,130.5114891159735,135.9932456903682,1069726,0.02687269036324393,0.03296868402369791,Healthcare
2000-01-28,133.96508622779464,137.6712185701288,129.81458359888288,133.50807270217715,1166372,-0.018443274770025813,0.03283090806096238,Healthcare
2000-01-31,131.91729812920053,133.8931928291662,131.68918980058953,133.66206748589968,698061,0.0011527845190178894,0.03183265582577571,Healthcare
2000-02-01,128.56004830115532,135.44560099752067,123.1107360574161,129.93788594780113,1251403,-0.028258194339266064,0.03018035318481093,Healthcare
2000-02-02,130.8864754802316,131.30246908040212,129.79964229271866,130.21349698015538,1262468,0.002118851972771003,0.03079710711715146,Healthcare
2000-02-03,129.29059699824,130.39757717676798,128.73913951736813,129.84376031280837,431299,-0.002843503929262884,0.02931625616412536,Healthcare
2000-02-04,131.53653218540484,135.4823632865896,128.1559673464936,132.08763479241887,1001807,0.017133718330287248,0.02808499826551276,Healthcare
2000-02-07,134.58810979073937,139.9827891674926,129.85122107401307,135.22353632954736,1172334,0.023463631490633713,0.027839690149718387,Healthcare
2000-02-08,132.27844639738132,137.92041835128504,125.82673483617849,131.43263086350242,745592,-0.028434826219808737,0.028330548503604735,Healthcare
2000-02-09,129.12236056964764,132.4078630525876,126.15816638009433,129.43645828677202,825780,-0.015304316394032317,0.029383275585521243,Healthcare
2000-02-10,126.3014076986407,131.81697767929037,120.23217798290275,125.72246562025752,922334,-0.029113267387644567,0.028737341949996838,Healthcare
2000-02-11,131.53998182091445,141.45000486731178,122.04085716583857,131.92320579527978,1144916,0.04814315527785559,0.029796060286194078,Healthcare
2000-02-14,129.69841105459506,132.8321023220478,126.94013576014777,130.06600937315042,1089693,-0.01417789301616159,0.03402805720106522,Healthcare
2000-02-15,129.5002677557927,130.2633005530097,128.90735559479396,129.6696130508738,1047414,-0.0030523085461457264,0.03250352041025452,Healthcare
2000-02-16,123.32429506514528,132.29023099205583,115.14164511727273,124.05884327619002,1609382,-0.04423378185431142,0.03076654935749209,Healthcare
2000-02-17,124.74971181023709,129.23000468969107,121.67057744926629,126.11711929780154,964737,0.016454997858189456,0.03392283251828802,Healthcare
2000-02-18,129.14254338369972,131.8429923814892,125.2133481937584,127.88755461434882,1157113,0.013940404801465994,0.03257640090660735,Healthcare
2000-02-21,128.09920854941421,129.77746929944354,126.96871833762391,128.64218723842876,1128231,0.005883409817499492,0.031275033968434264,Healthcare
2000-02-22,125.83060438800095,130.9269447113456,120.14377095064997,125.21518584051573,1070417,-0.027001064105888477,0.029794200382683055,Healthcare
2000-02-23,125.18573376805428,125.21643699017065,125.1819810519518,125.21268346619203,1553172,-1.998479107547847e-05,0.030323491233403877,Healthcare
2000-02-24,124.85742979987174,127.04096888993976,121.59695576532515,123.76132590644141,1307003,-0.011658839438271958,0.02890694304790181,Healthcare
2000-02-25,117.19256723142479,126.58412837731348,108.30001790278808,117.6563846710884,1111739,-0.05058653768872699,0.02808697857828111,Healthcare
2000-02-28,117.3229769083615,118.02955135203935,116.4792003221003,117.18494346310099,953075,-0.004014981903216493,0.03339090238111883,Healthcare
2000-02-29,123.08771772837582,134.93086277729438,112.41108414593606,124.16112205999197,1755202,0.05782669345883591,0.0315337898358697,Healthcare
2000-03-01,127.44955459375558,135.3643221398993,120.74099595675388,128.59544718657065,1633793,0.03509131466895628,0.0373777058229577,Healthcare
