datetime,sentiment_score,news_volume,social_media_activity
2000-01-01,-0.28485065563881246,32646.78135727395,159330.1254290958
2000-01-02,-0.1723804858610274,31666.232227154575,155544.92890861828
2000-01-03,-0.36724975760189943,33501.71831942909,162691.87327771637
2000-01-04,0.3083727158661427,33194.02604621754,161723.10418487017
2000-01-05,0.40547750072328864,34062.69256639967,165239.7702655987
2000-01-06,0.6205412337389133,37760.26947284905,179982.0778913962
2000-01-07,0.27063267809111996,32246.4173655239,157724.6694620956
2000-01-08,-0.13532211326715488,30789.99011502471,152083.96046009884
2000-01-09,0.11569833436455967,30619.881905734743,151615.52762293897
2000-01-10,0.5261658247131621,36241.50165828873,173411.00663315493
2000-01-11,0.7168929659368111,39826.09396561422,188271.3758624569
2000-01-12,0.6326624350952327,38242.5859465493,182244.3437861972
2000-01-13,0.2894315667374686,32645.17145474102,159272.68581896406
2000-01-14,-0.18500893127354381,31618.989162783142,155019.95665113258
2000-01-15,0.05623844593048231,31187.1611147657,153419.6444590628
2000-01-16,-0.03886464332593713,30817.924698918483,152291.69879567393
2000-01-17,-0.19857411629304536,31271.416963401865,154021.66785360748
2000-01-18,-0.35772824908156364,33486.40894584909,162894.63578339637
2000-01-19,0.21896533032079293,31769.171960023494,155708.68784009397
2000-01-20,-0.17647144689327632,31500.85796716555,154448.4318686622
2000-01-21,0.13018269145680186,30833.801751318508,151811.20700527405
2000-01-22,-0.021222084756592957,30709.135832937816,151722.54333175128
2000-01-23,0.18570936933326834,31244.692804967948,154228.7712198718
2000-01-24,0.29814546606927494,32589.422062056008,159380.68824822403
2000-01-25,0.33315929280982304,33147.92972847817,161203.7189139127
2000-01-26,0.2630456110625284,32883.59050624172,160991.3620249669
2000-01-27,0.09087841654266621,30608.357212876184,151453.42885150472
2000-01-28,0.4783083472568208,34994.48858534472,169137.95434137888
2000-01-29,0.4580439397233196,34906.12966050493,168777.5186420197
2000-01-30,0.32915422819840867,32947.87928776596,160455.51715106383
2000-01-31,-0.00673537671801783,29831.43202552865,148075.7281021146
2000-02-01,0.0804302853202888,31259.755446385716,153720.02178554286
2000-02-02,0.20371218451013404,31404.22395149922,154265.89580599687
2000-02-03,-0.3659507755097269,34188.098169354096,165163.39267741638
2000-02-04,-0.2921458585716275,33252.14650460877,161317.58601843507
2000-02-05,-0.34075047514103535,33122.88403212636,161104.53612850545
2000-02-06,-0.22650710287594766,31642.553898198435,155146.21559279374
2000-02-07,-0.16435807912023168,31302.12459632293,154368.49838529172
2000-02-08,-0.2717213812868389,32355.245186973432,158063.98074789374
2000-02-09,-0.004471381997247879,29922.09520548518,147931.38082194072
2000-02-10,0.17230572226298954,31212.768455602854,154633.07382241142
2000-02-11,0.22582986696321242,31916.801950979894,155721.2078039196
2000-02-12,-0.03870225433651998,31025.36037814309,152983.44151257238
2000-02-13,0.21028824782640035,32458.19837980407,158535.79351921627
2000-02-14,0.34130950381879027,33228.80182611214,161611.20730444856
2000-02-15,0.1414834546274342,31970.460815246563,156876.84326098626
2000-02-16,0.22715987975717866,32017.84544243122,156470.38176972486
2000-02-17,0.2373374723719752,32395.33019438573,158302.32077754292
2000-02-18,0.13236297863118346,30542.2491285603,150892.9965142412
2000-02-19,0.06655540642008274,30413.136258811064,150970.54503524426
2000-02-20,0.247078522083232,32134.605292123433,157184.42116849372
2000-02-21,-0.1302079236833161,31393.4448822074,154993.7795288296
2000-02-22,0.01086698245521768,30699.519857301068,151862.07942920428
2000-02-23,-0.1688188156200834,32010.648242740703,156438.5929709628
2000-02-24,-0.10170402672125939,30625.181358282905,151135.72543313162
2000-02-25,0.028146009137714343,30840.19405411921,151667.77621647684
2000-02-26,-0.0498205530516409,30273.070949251527,150502.28379700612
2000-02-27,0.057927921932968425,30550.159608087364,150494.63843234946
2000-02-28,0.30963607302980906,32763.232976958498,159963.931907834
2000-02-29,-0.1200976343491283,31711.414332098833,156025.65732839532
2000-03-01,-0.1393832307309685,30656.55496115042,151524.21984460167
2000-03-02,-0.29777424367195876,33002.21711104061,160457.86844416245
2000-03-03,-0.15520461478934205,31661.413499499184,155409.65399799673
2000-03-04,0.42818511766369866,34397.16064860284,166907.64259441136
2000-03-05,0.10780237093497506,30402.54111501512,150494.16446006048
2000-03-06,-0.0964986929505755,30451.55317210264,150178.21268841057
2000-03-07,-0.016909387864756546,30439.47919058312,150730.9167623325
2000-03-08,-0.06447472445938121,29931.63573698182,148993.5429479273
2000-03-09,0.07941773002962045,29947.465644563054,148681.8625782522
2000-03-10,0.30839223289968515,32735.93048321461,159609.72193285846
2000-03-11,0.3266372514788294,32856.48779698483,160527.95118793932
2000-03-12,0.3644156328864341,33693.44910708004,163693.79642832017
2000-03-13,0.0945834413516272,31449.639696151506,154830.55878460602
2000-03-14,-0.004981396509716231,30036.037844119262,148668.15137647704
2000-03-15,-0.06088618508856156,30560.40079660085,150874.6031864034
2000-03-16,0.16971254445605655,31060.3347686177,152815.3390744708
2000-03-17,0.06426917669191963,30611.18277774456,150798.73111097826
2000-03-18,0.15916208857045816,31981.10086775593,155939.40347102372
2000-03-19,0.013272823649461503,31360.508232493066,154286.03292997225
2000-03-20,-0.19973363480893727,31512.979975537288,154984.91990214915
2000-03-21,-0.31325633274125686,34142.53918062947,164913.1567225179
2000-03-22,0.23976202910041777,31830.1721637434,156079.68865497358
2000-03-23,0.3839776076967885,33765.48121671718,163892.9248668687
2000-03-24,0.008871409769158692,32415.98275240376,158537.93100961504
2000-03-25,-0.0854087702828164,32062.270265704272,156653.08106281707
2000-03-26,0.11358804266335247,30379.754490820716,150375.01796328288
2000-03-27,-0.05935332114088282,30842.337441333904,152181.34976533562
2000-03-28,0.18129567072456262,31555.864115267694,155311.45646107077
2000-03-29,0.2805683317338564,32311.75881956471,157933.03527825885
2000-03-30,0.21883871014142564,31854.450860488683,156021.80344195475
2000-03-31,0.2256011075272467,31611.531266006143,155521.12506402459
2000-04-01,-0.2501974447558663,32289.016570372936,158050.06628149175
2000-04-02,-0.25087989730930577,32116.685057145103,157051.7402285804
2000-04-03,-0.05659174394234558,31072.206389539184,153360.82555815674
2000-04-04,-0.13606803383313817,31774.902504070138,155886.61001628055
2000-04-05,0.04432422859164297,32797.68276497733,160439.73105990933
