datetime,open,high,low,close,volume,returns
2000-01-01,148.1124273157708,148.36996397700224,147.90451978652425,148.2087662255558,23626471904,-1.845793401182909
2000-01-02,148.2280507371915,148.45640068489527,148.0209611918748,148.30809259230298,23819726893,
2000-01-03,148.3131750466547,148.6545652046068,148.08093372983882,148.27259816875204,24350504539,2.2519207223720907
2000-01-04,148.1688569168882,148.72590392380584,148.0206880599713,148.36961518864987,23524559552,-0.8186721836523979
2000-01-05,148.40213166761203,148.7761184696134,147.93383758466365,148.6274909786348,23455779575,1.7195945915699606
2000-01-06,148.62243393282526,149.68255036069738,148.44437644805726,149.53301734335403,24326505010,2.1218600261969183
2000-01-07,149.44688853901255,150.1710370909534,149.1173016373027,149.7535980250957,23670767031,0.49498317824261345
2000-01-08,149.71856216383316,149.9277710180427,149.55255558565838,149.75377467242342,24238388353,
2000-01-09,149.75605944348266,150.00964512162517,149.57687280537962,149.85063650108063,24239825977,
2000-01-10,149.85672712518345,150.06606251400643,149.28036456223086,149.46862580859036,23950519245,
2000-01-11,149.51994821457774,149.69583417537171,148.95082947188078,149.16632355168736,25481002278,-1.9404560226923215
2000-01-12,149.11257624269484,149.4919487452357,148.96346366645216,149.3183700099846,24326705273,
2000-01-13,149.2568372373674,149.51506635237854,148.86302066912634,149.17609826697597,24240947851,
2000-01-14,149.14649304136532,149.51026804032392,148.56597622994204,149.07531952054003,24079616536,1.316507947228086
2000-01-15,149.13554656902957,149.3695762203297,148.95052406360338,149.21668911690608,24514863491,-0.8744659251114156
2000-01-16,149.2379735887753,149.54944203271458,149.06333099866444,149.37291433486197,23658097780,-1.2170504971745038
2000-01-17,149.41020263679,149.95728872495752,149.23154318713978,149.73724005128648,23869244491,
2000-01-18,149.75347938356876,150.14364466510068,149.52102103373252,149.74004981651368,23522550372,-2.5527459436000672
2000-01-19,149.77649440834853,150.55571636623418,149.4286827847519,150.2580721229423,23560011255,0.8971694107660526
2000-01-20,150.2413628319866,150.53889206000508,149.8591559946118,150.05158318068493,23307312797,
2000-01-21,150.24338149124299,150.81986828066138,150.0856861853969,150.30923039785833,24253976225,-2.4774820256190058
2000-01-22,150.30970390185814,150.54503739486628,150.121228160072,150.36753793743623,25198730719,
2000-01-23,150.37615653004258,150.59812258822842,150.19857945445057,150.41728024209738,24416999185,
2000-01-24,150.45135766482585,150.7231127214785,150.16778374848298,150.46294850343253,24165521196,0.6424030815512461
2000-01-25,150.4726016086723,150.75806025978517,150.15237572431712,150.5321567404108,23756582942,0.13528988069738593
2000-01-26,150.5190022710692,150.92355526189203,149.86211314156046,150.77278247941263,24423235137,
2000-01-27,150.60266528550366,150.9899272572013,150.35391422001084,150.71870080963834,24812018066,-1.7875620477438328
2000-01-28,150.8088782098225,151.26297377401406,150.65806933161267,151.10961057684918,23743945310,-0.3527945565775338
