date,realized_volatility
2000-01-03,0.01144380260586191
2000-01-04,0.027715358561863506
2000-01-05,0.013280534345070831
2000-01-06,0.04259753373010164
2000-01-07,0.015328602619505066
2000-01-10,0.01845708674570147
2000-01-11,0.01864447431066641
2000-01-12,0.016979989853605517
2000-01-13,0.02416148995191599
2000-01-14,0.031136615297092135
2000-01-17,0.01853192959114597
2000-01-18,0.01661942770027319
2000-01-19,0.017465832200970813
2000-01-20,0.03892156685882218
2000-01-21,0.03372806382019253
2000-01-24,0.04883943061602486
2000-01-25,0.029893953196650835
2000-01-26,0.021222059300935497
2000-01-27,0.025987787701317017
2000-01-28,0.05657699202430024
2000-01-31,0.059110986522721225
2000-02-01,0.03523364502232008
2000-02-02,0.03556007016483433
2000-02-03,0.047082044412133976
2000-02-04,0.04775580353024925
2000-02-07,0.11761150063922962
2000-02-08,0.11226438504155206
2000-02-09,0.11138621532509027
2000-02-10,0.09515025995169378
2000-02-11,0.1521429058794487
2000-02-14,0.16534087514198556
2000-02-15,0.1691079888350901
2000-02-16,0.17514268749048045
2000-02-17,0.2612922250398639
2000-02-18,0.25596235667630096
2000-02-21,0.8057203379662389
2000-02-22,0.42994782613985677
2000-02-23,0.5304461878012583
2000-02-24,1.0892046300494533
2000-02-25,0.5300449271833391
2000-02-28,0.46741822090078794
2000-02-29,0.37910006033669597
2000-03-01,0.42305388256467485
2000-03-02,0.46212484259263026
2000-03-03,1.053784792270274
2000-03-06,0.8182059805773246
2000-03-07,0.379697784811638
2000-03-08,0.4028065088453473
2000-03-09,0.7225086767798211
2000-03-10,1.4592230931449632
2000-03-13,0.3761133543453941
2000-03-14,0.5942307636892377
2000-03-15,0.7678607808686442
2000-03-16,0.4323581364154278
2000-03-17,1.3155507271449427
2000-03-20,0.5385739097904273
2000-03-21,0.48006278798916624
2000-03-22,0.46145826308767995
2000-03-23,0.423122121577837
2000-03-24,0.6154263020569375
2000-03-27,0.6051116654424339
2000-03-28,0.4575363904070025
2000-03-29,0.43542512345773254
2000-03-30,0.8502066126248036
2000-03-31,0.5565894851842316
2000-04-03,1.0050148238404468
2000-04-04,0.6158457208314082
2000-04-05,0.8487208349711587
2000-04-06,0.4747476646660305
2000-04-07,0.48510247608123813
2000-04-10,0.3721682814880098
2000-04-11,0.5147149892680701
